,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
 Thunderstorm Wind,0.007815213366909417,0.00946023083304459,0.013242259080866159,0.011892565772790376,0.0011662603263888607,-0.0015010754027044398,0.011532451438627068,-0.000746851985933253,-0.004727378382096467,0.005070772898451134,0.004289677207462243,0.011965172644033809,0.03630899833429583,6.25352748879698e-06,0.016824113721458908,0.010220757876190482,-0.000575563145175347,-0.001549849388551396,0.004806851053412943,-0.002888146087202744,0.03225290517530077,0.04228708907162696,0.016299292887176534,0.026925151053717754,0.00784498671909398,0.08765158154368559,-0.0003536229023427538,0.002420243536380279,0.0012958484735485492,0.00013624663093581168,0.0018353206406074157,0.0055732516073394,0.03716915854905486,0.0013789258996153699,0.004006723662488205,0.035897163641556984,-0.0013095834825399874,0.0006662500440951886,0.008547711309141923,0.020553243207817873,0.005114418410407134,-0.0027965542885388366,0.0013702014298171512,0.000541686302368574,0.020370129585027145,0.042381451010176596,0.007157997963689916
 Winter Weather,0.0059005964417997905,0.019941065664226286,0.004131740357447802,0.02936974632987221,0.034578079000058895,-0.002915443708530013,-0.004144794164988619,-0.002207262515033026,-0.0010969464797162421,0.008192291521278003,0.0051951507517973925,-0.005476153994352987,-0.0030111103006013515,-0.005538936901326276,0.007698862233312494,0.03770835989345975,-0.003748669335521348,-0.0012825107580965473,-0.006214211176474356,-0.0030747533747822907,0.004164072134542322,0.011789696787614098,0.007476114229367022,-0.0017246148018152524,0.04100043453103614,-0.004666706987929173,-0.000992690616499507,-0.0029476347399741165,-0.0034372838416262164,0.013756255185501144,0.009538994879362286,9.387245969767486e-05,-0.002169784925489965,-0.00452625780540725,0.004125641430657569,0.009292049603364239,-0.0022798409343185435,-0.0008757271527222603,0.007471140438200126,-0.0008056008036716919,0.05113373114067765,0.031006988906517322,0.025733397243959434,0.005920881415061153,0.06781294033915242,-0.009476226186106988,0.0024535644263442074
 Hail,0.012021380741423832,0.012173528627106122,0.002800623401538583,-0.001979284869964687,0.007782662963512197,-0.001259230274278371,-0.001109785198349119,-0.000622399069194965,-0.003306607117026045,0.00022123634827695717,0.0033982693019330916,0.008063493381261035,0.016827170739949573,-0.0011165404751724485,0.011428319242052985,0.0028720154625263335,0.0018937367327780156,-0.005320987061623307,0.0019749334271968243,0.007984154154674593,-0.0021039839041747943,0.024338837017620154,0.03810387631309736,0.005006427424592795,0.004249877688854326,-0.002884131165776791,-0.001252669464352567,-0.0009706372711533766,0.015215083818744264,-0.001695993305486355,-0.004423349534972755,0.010734745744611552,0.014711790983099682,-0.001686167356370059,-0.0002118619974706431,0.008640346529681571,-0.0009365941060731364,-0.0017565217336521068,0.005391441365195516,0.013280640230217421,-0.0012683879788531586,-0.00028844713783155135,-0.001544769983114306,-0.002350278612521236,0.01162352458472313,0.009214673372995336,-0.004946836198948593
 Winter Storm,0.016491175856047667,0.06926555520838637,0.03811913634354331,0.11779580542252978,0.04332350713898814,0.0044204155731351145,0.06689096410326092,0.0029992996398675725,-0.0007069289221673489,0.032735776879658264,0.021727901551051594,0.0060388805142119716,0.012218781054371231,-0.00045102265915564807,0.0008568014425051971,0.04155233608618718,0.01993768224926331,0.07273667445925322,0.004103428312569733,0.08949730706280698,0.043355760889195454,0.018756156222692513,0.016796905598935777,0.01962535278608339,0.023946224451538396,0.001649735307606842,0.08006270339923705,0.02294449611930855,0.06357844478390269,0.03823967846982635,0.04740158849141818,0.00534267244765193,0.04307841329342881,0.00908030583470844,0.12394866460612912,0.009263166135596048,0.01660313484258086,0.012307368816277846,0.045707398181684046,0.004586453766517418,0.4451600923497307,0.14471251082313713,0.02379406205660564,0.01807589476732592,0.04963860573067294,0.0339925249195272,0.00832982784856288
 Heavy Snow,0.004040683270566535,0.09586001426357549,0.010925770164338069,0.11346358954739885,0.02876093727826463,-0.0038371266372079675,-0.0022080845013591793,,,0.010813542376380368,0.023882166907726404,-0.0005166859557429713,-0.0077313360533855305,-9.890544565635847e-05,-0.004771107088665099,0.02184660617477891,-0.000245446792597096,0.021173036458622972,0.00938431440855745,0.011469483192695641,-0.004464870228477342,0.05668331904508094,0.013303841710333575,0.054095356013856205,0.04493387754128157,-0.004801224610763011,0.037961889166996936,0.00021688814850187585,0.06627095175479152,0.01609561118342583,0.01873178364466748,0.005216869979521053,-0.006624061967929917,0.008518255143202416,0.06556392256695717,0.017159417122654484,-0.0037795121468704074,0.016578074868153027,0.02079044731095986,0.012406085334034988,0.0726089073542034,-0.006606155714112587,0.02041965818796289,0.035126764738630155,0.05282431169360776,0.00971780024958128,0.09051787197982954
 Ice Storm,-0.0023970225265782952,0.005772275251999939,0.02067068359944343,-0.004107881631035659,-0.0029934776858888375,-0.0008093755538514049,,-0.00021215681613032827,,0.00990722798466065,0.0006012217233041831,0.010847289619368932,0.012701053530235354,-0.0013862915764423038,0.006151274852620225,0.10943323815800542,0.012758351123582964,,-0.0024613928217915746,-0.000955534609000957,0.013942056463480056,0.0033035177584043,0.05027126367309882,0.005014139867141168,-0.0039397345396175445,-0.00015401021930063348,,-0.0008033814770478476,0.0059890872857773225,0.0041361530570232135,-0.002520008877744615,0.22888649934641836,0.03341360532830479,0.3019556559755625,0.02312629904463168,-0.003927354408600204,,0.015633694650705444,0.01784861850177981,0.04264336962472499,0.1942174252828813,-0.0014320801667631758,0.14740721918988195,0.007717268857740263,0.029485316928805662,0.004651978301368566,
 Tornado,0.00374107289955015,0.0027583818834902283,0.011858438937088678,0.000768091198077654,-0.00020787669147225382,-0.0007972074844002357,-0.0010647704365301838,0.007229740657552825,0.019383496901422603,0.0020754653984195706,-0.0011270138827932485,0.0009979848445505555,0.011232506035125515,-0.0006227483868594155,0.002950191701091987,0.0006292486785369348,-0.001703350695142013,-0.0009070848985978122,0.0008714964312092602,-0.001125128623971385,0.005635532625257108,0.020053051295504377,0.013163230383895753,0.0035179420340212893,-0.0017572023211428222,0.005632551339756205,-0.0002519085839283371,-0.00057013947965383,-0.0023493677801575113,0.00051036984673673,0.06185310012169154,0.0014689733475969587,0.007718142133627768,-0.00033389044216818563,-0.0003455873845093181,-0.00016581880704007876,-0.0006202073727032434,0.005048780322164491,0.015501676350648794,0.0037582869679733157,0.0004599810247736728,-0.0008030511207212853,0.003483550691105517,-0.00023596946134717332,0.0036763389642374914,0.0211660555656776,-9.814378898173811e-05
 Flash Flood,0.10024726756970113,0.07625490793938618,0.030170116035129497,0.04922507619693357,0.001245473143956287,0.0011457021804795104,0.004651724749014057,-0.0016039937873244426,0.032221733108461416,0.031066347647021385,0.006795350261643161,0.023340574134764324,0.05454872780575,0.0006746031460387376,0.022705634979471347,0.01321436186908984,0.007508718536838193,0.06552110796667156,0.01921600749468945,-0.001006618474285307,0.007562265599030193,0.03799458085903901,0.017532501893931893,0.05202015474013757,-0.001669761847098599,-0.0006484573606603038,0.08292127837218698,0.008949130896566727,0.004643697660283629,0.007833186531292974,0.3853879363273446,0.01428165437598317,0.029464772770777338,0.007401959617730059,-0.0017149952732252686,0.015597683959674275,-0.0013959609663789208,0.12931800955456346,0.030910130525435186,0.024235024529019718,0.008599219604169341,0.00657551572172093,0.024384600546758742,0.007439050618924334,0.052150456318511056,0.04037509519730317,-0.008238522879164144
 Flood,-0.0016624195296408586,-0.0016848929695499862,0.06262589075958044,0.1118288275302117,0.013553501803998759,0.020031798889353972,0.019749482454566997,0.00904009722998933,0.4084117297299694,0.0019954114538783723,-0.005607090208639575,0.004528431161469367,0.00928188006120977,-0.009499920994124037,0.019253666667790707,-0.005282988289204147,-0.005099743122142902,0.36851652650651306,0.036563049746938116,0.02816129217743867,0.0028046137022212235,0.020513258953751057,0.0010722439737274425,0.010204771786602224,-0.0033430655420910874,-0.002286108101906238,0.24177366562304764,0.0321907693959269,0.009624089278740425,0.04699442627400634,0.43597729405307345,0.007194942681884091,0.07528801157417986,0.09412581483128914,0.027963859877944065,0.03484399215578574,0.011647842158349273,0.032153956732618456,0.053105092600333546,-0.0015336104027173514,0.002849533828525434,0.03914988661230973,0.17670127031759097,0.09007751343395219,0.11374155786174604,0.015825741771499934,-0.008268047515401878
 Frost/Freeze,-0.004677985665174365,-0.005419976346508448,,-0.0006850695064893233,0.015774154201069254,-0.0012403534405935716,,-0.0013479646082770508,-0.0013472111611923519,-0.000778368363002462,0.08794206851698493,-0.004035162230849124,0.022450323978447307,-0.0014838338352300877,-0.004472957400605697,0.0017646815044169433,,-0.0009359708023176055,-0.0039503733193583905,-0.0018946794206080731,,-0.0028623424623668054,,-0.009421048261647186,0.009950588411845204,-0.0007542346067647437,-0.0008035315302347677,,,-0.0049855646107024336,-0.0024750099570163054,-0.0014064118765385258,,-0.0009530749861593263,-0.007851058468133396,-0.0037812938959107443,,-0.0010439494625333625,,-0.011160189260250399,0.30054891198097367,-0.0019010117211274672,-0.003833499079991118,-0.0030568222563825027,-0.008186642254484493,-0.001943662321990196,
 Wildfire,-0.008239498763771507,0.030681622559147005,-0.0038275939125022784,0.13194230745916735,0.02045250284487389,,,,-0.012710188273233985,0.00026800372883533166,0.004479330405841075,-0.0010538806533049948,-0.004545946228162871,-0.0005102458364884046,0.20568716715612373,-0.010534974918921438,-0.002937973335249371,,,0.0033147141184314446,0.14904832323383577,0.027679064286516876,,-0.0019455250831679365,0.025848727910975238,-0.004475287773558274,-0.0005354805235036378,-0.004217177874237589,0.04375601233633006,-0.0032152292262923416,-0.01136178470891796,-0.0017876775270281788,,-0.01574711384259266,0.05871386474433261,-0.01123559815678166,,-0.007557338428223065,0.0026078848800924746,-0.0016040667697994663,-0.006495812719828495,,-0.012618079831711156,0.031977833177762476,0.0009623275480457625,-0.004325375430008896,0.00961103952626666
 Heavy Rain,0.01921778377064793,0.011930191440242285,0.015810136717365773,0.01579830320586911,0.013961951190267947,-0.0008555621258416332,0.015967692929819487,,-0.005365915590612292,0.1348870820700444,-0.0020205474262334445,0.08108114883520695,0.028831548645171352,-0.0010763349827617038,0.0033181800091382726,0.0011106770480743709,0.24220628225367094,,0.0017868604978904506,-0.0011875246806297703,-0.0002744234964380906,0.026172220118989648,0.02581306543815767,0.008034465233730493,0.007610667406635696,-0.0009054252722078065,,-0.0008168391654420141,0.0004929060681856999,0.00765002197269524,0.10951887952958236,0.0015728288407202426,0.0065903745703093375,-0.001253034764542834,0.008662734498745687,0.0030859463257088167,-0.0008246357460221169,0.1755068512685581,-0.003949461917542042,-0.0012204638997133528,-0.0012238585581460044,0.0013348552986883813,0.026247214911276254,0.00140191273020259,0.00559269085592789,0.009914749161135881,0.005512238518447882
 Lightning,-0.001968263697830484,0.0003049622023778105,0.009282814407253212,0.004241719687823152,-0.0006534132338667991,-0.0010354181511828193,0.0004019168846086057,-0.00046323096790001374,-0.003965608377122377,-0.0008694397992998386,-0.00020383645972583584,0.0027926217306063783,0.005928563855303043,-0.0004082555923213361,0.0021823896844592565,0.002125112035760756,-0.001297267224958098,-0.0009331530985399117,0.004132842935377705,-0.001550418659757711,0.0007340629666831436,0.012985700584424983,0.004980443713007097,0.012151361314871455,-0.0006129234715386685,-0.00039350776335230305,-0.0005266149549344871,0.0002928228573377897,0.00470420789217535,0.0016784677056618288,-0.0018978755390194242,-0.0006798380464142442,0.00347120712014725,0.00042922797799431966,-0.0005757424407639561,0.0035401268895339736,-0.0006633715347623476,-0.0011416221298110954,-0.0007565432710794723,-0.000824602633364036,0.0008427977940648891,-0.0005752530582213204,0.001498957283239101,-0.00029037283580312463,0.0021647656956654588,0.002476189932177586,-0.00022295535533553993
 Cold/Wind Chill,0.0008291398149896706,0.0023394757833109007,0.02362456471907094,-0.006642859021929404,0.0035904740547092577,0.000791973604231075,0.0006034203240492631,0.0039071789023748665,-0.0008327361065218205,0.0035678790930336727,-0.0019494101341836325,-0.0014559078798807312,-0.0013733880425553925,-0.0023524580106672834,0.008760936947575864,0.013771058617586032,0.01292345670638385,-0.0003513675481620338,0.09759321991369821,0.02653095873831879,-0.014947424015130734,-0.007982670678359305,0.013085738430334629,0.014823826255008141,0.018351645018839194,-0.002392730103616812,-0.000346023289773054,0.001503847197104938,0.01059317439063878,-0.006200064504235984,0.00769654956529042,-0.0038161857845068884,0.025618238920135834,0.0038964984200957364,-0.0028977533870097817,0.045470695439665074,,0.0029498628274270914,0.0002966045540390011,0.09139741615449977,0.44151809922139057,-0.008872360112708727,0.05709598815554312,0.003963840066944654,0.08426653105003148,-0.009141696406091976,-0.0012909030910562543
 Sleet,-0.001293094971083653,,0.0053109017429220804,,,,,,,,-0.0011471333845008717,0.028348339819166988,,,-0.0005735064938787379,0.10693104564210863,-0.002376298620019906,-0.00029468452577729824,,,0.011924290730108837,-0.0002713665388821401,0.0023633820773432675,-0.0009413836778186231,,0.0005048078403767158,,,,,,,,-0.0011799790580470882,,,,,,,0.0033437999950763986,,,,,,
 Strong Wind,0.06196908913347562,0.009099457400845484,0.0012971363877016528,0.13940618051285306,-0.000755271770451443,0.01139792935863685,0.030491802101612994,-0.0003007268464850151,-0.000658174978800132,0.007307585020402554,0.07602421003435356,0.00938729570444409,0.07851884968548697,-0.0012401161587784692,-0.0012243014629050109,0.006595073989335181,0.0022113658928097297,0.01822697431346651,0.008632737129425666,0.02162665446365835,0.020468587571798712,0.002461264599834469,0.04732018836978346,0.024111490430732588,0.026054067623131106,-0.0012179379813062174,0.0028792622624303254,0.0002347919333883185,-0.00264220583496093,0.06589090769302432,0.21226902558598298,0.007032309794925993,0.08625402052720836,-0.00034676582755868333,0.05423616925559009,0.03773110751893003,0.0025133528472580462,0.023853897383444504,-0.0016418106371660583,0.008731936430854629,0.0015493544166957434,0.06365213971720443,0.11170606877555876,0.08654954332097105,0.05699981165470104,0.034921908513566434,-0.002738001032500799
 Rip Current,-0.0007139609420549862,,,0.0067092024682225415,,,0.0038911072988167053,,0.018531660004470457,-0.0021594575507816716,,-0.0009059251121959014,0.004239908316448433,,,,-0.0005847856453036385,,-0.0004906440876551424,,0.006910605493663099,0.0007375989447334651,,,,,-0.00026660054240745383,0.004079095851621597,,-0.0005745675914480895,-0.0065731844227206425,,0.004791119021136083,,-0.0017057585089065791,,0.00036205708780763556,-0.0014871469081883504,,,-0.0009240068831872204,,-0.0007923147693727395,-0.0005971325330939944,,-0.0037418782101070343,
 Extreme Cold/Wind Chill,0.00641222750893549,0.0005131074894749462,0.015926464717616697,-0.0014731335520324687,0.0012476123299801913,0.004694190142771721,,,,0.023896686844738096,0.01576019887695845,0.004798781785030528,0.010626317856737162,-0.002857271568200699,0.012567667844717257,0.017749259169016547,-0.001014274530055963,0.0019342531395959701,0.07039237647447888,-0.0022855181918132457,-0.005304006342674519,-0.01062222597104114,0.014020871341493307,0.02130615774759252,0.03001828172645021,0.0002972228249823801,0.0026103479095329874,-0.0010740971344008002,0.004727612638247827,-0.0003267968825664581,0.039702251784521816,-0.008995530419038751,0.030002252045908416,0.0014981472108791401,-0.0014324136224984675,0.015293009104316505,0.0021947208142217064,0.0009886720489612113,-0.0026031685966731214,0.050954387212490966,0.5431818292263402,-0.004046839904413373,0.06190407866119428,0.004486685086018358,0.017572871905470678,-0.0005480490007113552,0.0385355535623784
 Heat,0.0020229388458909052,0.06987057785567241,0.010930718808499046,0.005507668048631395,-0.00205672453337427,0.009157083534285185,-0.001782709882422333,-0.001314710372449542,-0.0008164113712759818,-0.00041338044398585663,-0.000992402013858571,0.06255558593576376,0.12497059650146662,-0.00015791235115172317,-0.0016854240625281515,-0.0008704477531141193,0.04584250031356391,-0.0038437141498290557,-0.0013492885611365087,-0.003567771144956884,-3.80212884072705e-05,0.20488072860631018,-0.010935784771415592,0.014262787056401856,0.005415409323802816,-0.002442701649695191,,-0.0014586210873243912,0.0037165005139369414,0.010050841666443395,-0.002884183359247372,,0.00046405870364999395,0.02249012385979976,-0.003908009800368818,1.3420015055559305e-05,,-0.004092377048679186,-0.004392098693019938,0.002530019880858222,0.007248190851683026,-0.00576923861616957,-0.0014080430180666858,0.004269143219487102,-0.0012626673416066825,0.06955429848157293,0.006364661012413597
 Dust Devil,-0.0006567248706610864,-0.001954118221152499,,-0.000750944207980608,0.0009224014294871649,,,,-0.0005028722497949608,,-0.000619054283703725,,,,,,-0.0004705215256971593,-0.0003999721163789627,,,,,,,-0.0007938623981369432,,,,-0.0006135235961076792,,,,,,-0.0005107983555335611,,,,-0.0006003116537902197,,-0.0005222071222707874,,,-0.000731773933923938,,,
 Funnel Cloud,-0.001098291395747432,0.010276433434118033,0.0023877662060054054,0.011040851310387366,-0.00035003967293215175,-0.00038498127998014926,0.0001662334233265537,,-0.0023745790124951633,0.0007485609788970006,-0.0004454696316106879,-0.0009022806120077766,-0.00018874001622002815,-0.0011013519256276006,0.00042215511547972595,4.2463487856318524e-05,0.0009470888954793126,-0.0005912557388738907,1.8794170985274262e-05,-0.0023142372326052573,0.0023266666257448173,0.010794596082759447,0.0012332783591361713,0.0055111952737809155,-0.0012751427064960495,-0.0009083801789882209,-0.0005350604155999749,-0.0006160487888915386,-0.0021308644852747905,-0.00045670477864887156,0.0019406343721909026,0.00027530987249173907,0.003926937686263216,-0.0007714798168664029,-0.0009588604978724013,0.0062131248339074305,,-0.00030334669393149464,0.010634686704708435,-0.0012339644751966589,-0.0015072365933630604,-0.0005153686505525622,0.0006458065558989954,-0.0007927483850541426,-0.0006680814872294018,0.008921633027505987,-0.0021143167875773672
 Coastal Flood,-0.0019714009469446727,,,-0.006290443604237128,,0.00400957905794068,0.04502224679418782,0.00016458366334791077,0.0021024046052208058,-0.004248500054154981,,0.048563537816083656,,,,,-0.0003951987944174552,0.017856195763765178,0.012724279349726378,0.3180619866766224,,0.007752475910407714,0.021284390008616386,,,,0.01718294460936648,0.02885839686424484,,-0.010388888799614096,0.03544980987400445,,-0.005198675261302102,,0.005057188919466094,0.02579546611960112,0.007053996506548344,0.034061800135272435,,,0.005680918065218629,,0.033421850873918614,0.06745006426153538,,,
 High Wind,0.00034357250747943987,0.015002857489381216,0.005835562308098793,0.0941643820310052,0.053520151834741105,0.009510833552633954,0.02974741067258762,0.4273931414890479,-6.27791500432767e-05,0.19780244770555017,0.2506811776422538,0.012449448841948214,0.08282563716465016,0.021075870069215172,0.00458964561473839,0.08428129300502801,-0.0013284401475679249,0.13492482872394448,0.28210163283675876,0.10778489701703631,0.022435347667033794,0.010630766606156075,0.007351419027842985,0.002972016696437782,0.26822261252189733,0.0015839629551649846,0.0671123365192385,0.007939879699441939,0.018175279488161354,0.1065820027575198,0.10688074718838451,0.012138395999091039,0.11089348161319279,-0.0005172839386929341,0.07927046306144134,0.12629789683764261,0.14174451691286377,0.1506770740261253,0.024909340596290366,0.009722593026349272,0.004564222683439683,0.043184081998729404,0.27246787196440847,0.0985526601425423,0.16623669491091492,0.060523355744616106,0.0162583160416213
 High Surf,-0.0016336044319861566,,,0.0016179491961744574,,,,,0.006878874496321951,-0.0003589476445646377,,,,,,,,-0.0003933709538402291,-0.0004810422776767278,-0.0010005079603308431,,0.10713007316936626,,,,,,0.00021420092090974245,,-0.004227867295560378,-0.0001035664151261604,,,,0.0012586376610631315,,0.0012507251711367836,0.00952323573306004,,,-0.0020299587721392086,,,-0.0003581681578287711,,0.012840952334386193,
 Freezing Fog,-0.0016858307741232203,-0.0011759950758499615,,-0.0030964999480670072,-0.0006368618053115848,,,,,,-0.004105532402146189,-0.0008464033973971072,-0.0016004306143537067,-0.00025690065136628145,,-0.0013058250865383941,,,-0.0014690111979796354,,,-0.0015427176244160446,,-0.002533962810807358,-0.001982815779843954,,,,-0.0009584997551526753,,,0.004343274297505422,,-0.0007528210879558792,-0.0011266770547713337,-0.0020886815181645284,,,-0.0021673504292585243,-0.0003951635232655793,-0.0009167941712272005,,,-0.002570967340258004,,,0.000855695825616937
 Excessive Heat,0.014309546712831625,0.06845571561656207,0.04155252762412445,0.03550023697567106,0.019193622107990728,-0.0018375556168126566,-0.001695544170817756,0.0008779233906711971,-0.0022690093935625326,0.002224892426324567,0.0034116404624746697,0.029969515686083917,0.02824063174349764,-0.0015716392195933618,-0.0025689340997294683,0.006849755906642305,-0.0017823082881753725,,0.000388384746082629,-0.000768702455774249,-0.0016138769154742344,0.16409982008041055,-0.005732345332929875,0.03271360936009989,0.0006951059296960842,-0.00236966388376876,,0.0015064287806658854,0.009688179830290128,0.0030648335819690006,-0.0002967952270555195,-0.0006549604797380599,0.022274446413769074,-0.002311351796574483,0.0012202758233060232,0.008897072454288038,,-0.0006797780163436411,-0.0017087433432074449,0.02098577454495301,0.013901536435056884,-0.0035849553416694413,-0.0016154513963276553,0.007084045809664804,-0.0040305630447963845,0.03290650566632824,0.008960475388581728
 Drought,-0.03676165095826452,0.039776737751856264,-0.04112637167154869,-0.005938109298757081,0.025417055499558663,-0.016295130938797156,,,-0.021171970809201482,0.0018570920439889952,,0.07353191920358801,0.06345346996738763,0.04198275743029466,0.020327178226952566,-0.02030763653542294,-0.03953726181884073,-0.007349298607102935,,-0.02116336612667129,,0.02043566846707792,-0.034885509620823346,0.07537301494595935,0.04704436045833783,-0.018966161566106955,-0.00997654241566131,-0.010838475917487926,0.022334738823032545,-0.011230490106266295,-0.019822005189397918,0.01478530241925233,,-0.029024574022468937,,-0.0063770807145468265,-0.01185616764168921,0.09040112987709276,0.06952585816503966,-0.012655237208258814,0.011752606500575857,-0.01116058103261738,-0.01583271293937137,,-0.010742332199646236,0.024352822272517467,0.012610004883173645
 Tropical Storm,0.03699028639824167,,0.0013627032290099038,0.016438590846661376,,0.013682512579089657,0.12227156069508727,,0.38076777577251875,0.17656567607869467,,,,,,,0.06767942584624943,0.03237050968733455,0.004912304629953261,0.0002925716851173547,,,0.10165516917450294,,,,0.0036302023750500348,0.01723051309038977,,0.002419319771081527,0.36419825869141675,,,,,0.003097242311380839,0.0007097158058176817,0.25370223436798267,,,0.007834919646934117,,0.026381368350422048,,,,
 Storm Surge/Tide,0.030735099073356677,,,-8.76492584381342e-05,,,,,0.13136176817473288,0.0722186844374576,,,,,,,0.22386657830289225,,,,,,0.04659485115890636,,,,,,,0.0007522789876554769,0.015927900755800885,,,,,,,0.04057065191281569,,,0.00858110576841518,,,,,,
 Hurricane,0.07733083555801203,,,,,,,,0.22403839323973213,0.019211735171782856,,,,,,,0.15149702951563285,,,,,,0.0616533107230734,,,,,,,,0.36623350124893406,,,,,,,0.009880427011873253,,,0.0005259374232630498,,,,,,
 Tropical Depression,0.020106871702587747,,-0.0010193811673987559,,,0.0024307978929541257,,,0.008638412672108462,0.10312644917503028,,,,,,,0.055600487517362226,-0.0012269279929767725,,,,,0.05189531353280179,,,,,,,,0.0021299766141570824,,,,,,,0.08224568582308323,,,0.0018422355532577272,,,,,,
 Astronomical Low Tide,,,,0.0032832044215092148,,,0.0032640375673879266,,-0.0006824910474010973,0.0007840842220809331,,,,,,,-0.006567019491012416,-0.0003953982293310497,0.013969715132950665,,,,-0.015280541439017943,,,-0.0009258555525421688,0.11910457739365422,-0.0025990014016527654,,0.00046741839033769526,-9.934459344001951e-05,,-0.0016302245531443409,,,-0.0018261238779871281,,,,-0.0025194489815513854,0.0016746493192447624,,,-0.006404054161915158,-0.003002979938126838,,
 Dust Storm,,0.005791117912360586,-0.0008437834011492346,0.004694522566105734,0.003704747231033035,,,,,,0.001841733031102889,-0.000556921650895153,,,-0.0007302605610612081,,,,,,,,,-0.0007608507243627258,-0.0005959299082805357,0.006977967003230966,,,-0.0006594582558549111,,,,,-0.0007408434913165696,-0.0007475095519168547,,,,-0.0012518262020103138,,-0.00010102134216764297,,,0.024795748022810454,,-0.0010693467810414512,
