county,state,fips_code,customers_out
Abbeville,South Carolina,45001,246744
Acadia,Louisiana,22001,597905
Accomack,Virginia,51001,589700
Ada,Idaho,16001,1219766
Adair,Iowa,19001,12670
Adair,Kentucky,21001,261470
Adair,Missouri,29001,86476
Adair,Oklahoma,40001,126118
Adams,Colorado,8001,1817580
Adams,Idaho,16003,37754
Adams,Illinois,17001,352532
Adams,Indiana,18001,222076
Adams,Iowa,19003,32696
Adams,Mississippi,28001,1410367
Adams,North Dakota,38001,340
Adams,Ohio,39001,1426011
Adams,Pennsylvania,42001,473810
Adams,Washington,53001,91430
Adams,Wisconsin,55001,495366
Addison,Vermont,50001,414551
Aiken,South Carolina,45003,816075
Aitkin,Minnesota,27001,204620
Alachua,Florida,12001,2411797
Alamance,North Carolina,37001,978595
Alameda,California,6001,17177008
Alamosa,Colorado,8003,108971
Albany,New York,36001,2961947
Albany,Wyoming,56001,210336
Albemarle,Virginia,51003,1447634
Alcona,Michigan,26001,472485
Alcorn,Mississippi,28003,43442
Alexander,Illinois,17003,23704
Alexander,North Carolina,37003,299113
Alexandria,Virginia,51510,1611992
Alfalfa,Oklahoma,40003,52533
Alger,Michigan,26003,283169
Allamakee,Iowa,19005,65302
Allegan,Michigan,26005,2340625
Allegany,Maryland,24001,780996
Allegany,New York,36003,428200
Alleghany,North Carolina,37005,55344
Alleghany,Virginia,51005,252172
Allegheny,Pennsylvania,42003,7118528
Allen,Indiana,18003,1593636
Allen,Kansas,20001,84564
Allen,Kentucky,21003,1396010
Allen,Louisiana,22003,992817
Allen,Ohio,39003,675417
Allendale,South Carolina,45005,104976
Alpena,Michigan,26007,30406
Alpine,California,6003,63215
Amador,California,6005,3494006
Amelia,Virginia,51007,157125
Amherst,Virginia,51009,947360
Amite,Mississippi,28005,358788
Anchorage,Alaska,2020,3925326
Anderson,Kansas,20003,51163
Anderson,Kentucky,21005,1517142
Anderson,South Carolina,45007,2333304
Anderson,Tennessee,47001,214306
Anderson,Texas,48001,2562931
Andrew,Missouri,29003,215446
Andrews,Texas,48003,114462
Androscoggin,Maine,23001,8947925
Angelina,Texas,48005,1363212
Anne Arundel,Maryland,24003,3380912
Anoka,Minnesota,27003,1875814
Anson,North Carolina,37007,283479
Antelope,Nebraska,31003,2098
Antrim,Michigan,26009,341454
Apache,Arizona,4001,219542
Appanoose,Iowa,19007,194765
Appling,Georgia,13001,456623
Appomattox,Virginia,51011,172205
Aransas,Texas,48007,358985
Arapahoe,Colorado,8005,2666589
Archer,Texas,48009,90334
Archuleta,Colorado,8007,137776
Arecibo,Puerto Rico,72013,30622772
Arenac,Michigan,26011,317903
Arkansas,Arkansas,5001,1415239
Arlington,Virginia,51013,3267204
Armstrong,Pennsylvania,42005,1195967
Armstrong,Texas,48011,12044
Aroostook,Maine,23003,732933
Ascension,Louisiana,22005,1976096
Ashe,North Carolina,37009,124471
Ashland,Ohio,39005,437574
Ashland,Wisconsin,55003,66313
Ashley,Arkansas,5003,1370777
Ashtabula,Ohio,39007,3188066
